fy,diameter,fc,Ldb,Ldt,Ldh,Ldc
500,D10,21,530,690,270,280
500,D10,24,490,640,250,260
500,D10,27,470,610,240,250
500,D10,30,440,570,220,230
500,D10,35,410,530,210,220
500,D10,40,380,500,190,220
500,D13,21,690,890,350,360
500,D13,24,640,830,320,340
500,D13,27,610,790,310,320
500,D13,30,570,750,290,300
500,D13,35,530,690,270,280
500,D13,40,500,650,250,280
600,D16,21,1010,1310,510,530
600,D16,24,950,1230,480,490
600,D16,27,890,1160,450,470
600,D16,30,850,1100,430,440
600,D16,35,780,1020,390,420
600,D16,40,730,950,370,420
600,D25,21,1970,2560,790,820
600,D25,24,1840,2390,740,770
600,D25,27,1740,2260,700,730
600,D25,30,1650,2140,660,690
600,D25,35,1530,1980,610,650
600,D25,40,1430,1850,570,650
600,D19,21,1200,1560,600,630
600,D19,24,1120,1460,560,590
600,D19,27,1060,1370,530,550
600,D19,30,1000,1300,500,530
600,D19,35,930,1210,470,500
600,D19,40,870,1130,440,500
600,D22,21,1730,2250,700,730
600,D22,24,1620,2110,650,680
600,D22,27,1530,1990,610,640
600,D22,30,1450,1880,580,610
600,D22,35,1340,1750,540,570
600,D22,40,1260,1630,510,570
