fy,diameter,fc,Lpb_A,Lpb_B,Lpt_A,Lpt_B,Lpc
500,D10,21,530,690,690,890,410
500,D10,24,490,640,640,830,410
500,D10,27,470,610,610,790,410
500,D10,30,440,570,570,750,410
500,D10,35,410,530,530,690,410
500,D10,40,380,500,500,650,410
500,D13,21,690,890,890,1160,540
500,D13,24,640,830,830,1080,540
500,D13,27,610,790,790,1020,540
500,D13,30,570,750,750,970,540
500,D13,35,530,690,690,900,540
500,D13,40,500,650,650,840,540
600,D16,21,1010,1310,1310,1700,870
600,D16,24,950,1230,1230,1590,870
600,D16,27,890,1160,1160,1500,870
600,D16,30,850,1100,1100,1430,870
600,D16,35,780,1020,1020,1320,870
600,D16,40,730,950,950,1240,870
600,D19,21,1200,1560,1560,2020,1030
600,D19,24,1120,1460,1460,1890,1030
600,D19,27,1060,1370,1370,1780,1030
600,D19,30,1000,1300,1300,1690,1030
600,D19,35,930,1210,1210,1570,1030
600,D19,40,870,1130,1130,1470,1030
600,D22,21,1730,2250,2250,2930,1190
600,D22,24,1620,2110,2110,2740,1190
600,D22,27,1530,1990,1990,2580,1190
600,D22,30,1450,1880,1880,2450,1190
600,D22,35,1340,1750,1750,2270,1190
600,D22,40,1260,1630,1630,2120,1190
600,D25,21,1970,2560,2560,3320,1350
600,D25,24,1840,2390,2390,3110,1350
600,D25,27,1740,2260,2260,2930,1350
600,D25,30,1650,2140,2140,2780,1350
600,D25,35,1530,1980,1980,2580,1350
600,D25,40,1430,1850,1850,2410,1350
